Size(# MPI_CHAR),Latency_mean(us),Latency_std(us),Latency_min(us),Latency_median(us),Latency_max(us)
1,0.541,0.031222229039690564,0.39,0.55,0.57
2,0.5256666666666667,0.02860953944275297,0.39,0.53,0.55
4,0.4663333333333333,0.022047493146001605,0.39,0.47,0.5
8,0.4116666666666667,0.013152509484776156,0.38,0.41,0.44
16,0.4436666666666667,0.011591713250937245,0.41,0.44,0.46
32,0.41600000000000004,0.010699661612438476,0.38,0.42,0.43
64,0.396,0.010372377109252793,0.37,0.4,0.41
128,0.43966666666666665,0.009278574999588484,0.42,0.44,0.46
256,0.4703333333333333,0.008087168778415251,0.45,0.47,0.48
512,0.5666666666666667,0.016883645082279096,0.54,0.565,0.6
1024,0.6489999999999999,0.01709002532231132,0.61,0.65,0.69
2048,0.777,0.020197302653640635,0.73,0.78,0.82
4096,1.9416666666666667,0.030635041164105425,1.89,1.94,2.01
8192,2.2186666666666666,0.044001044919671974,2.13,2.225,2.29
16384,2.927,0.04706195476397994,2.84,2.93,3.01
32768,4.024333333333334,0.05405510172951768,3.93,4.015,4.11
65536,6.345666666666667,0.07084141265620307,6.21,6.355,6.49
131072,10.994333333333334,0.0868086811697814,10.81,10.99,11.13
262144,20.137333333333334,0.21239087799967143,19.74,20.16,20.45
524288,40.78433333333333,0.33957055366969163,40.18,40.685,41.87
1048576,93.49466666666667,1.3155901608268303,90.52,93.68,96.74
2097152,221.57533333333333,0.596343648516895,220.28,221.635,222.83
4194304,512.1333333333333,4.961412711310568,501.83,511.815,522.66
